2016-01-06 00:35:09,045 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: eric.clapton:musician-app-server:0.0.1-SNAPSHOT @ /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-app-server/pom.xml.
2016-01-06 00:35:09,908 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: eric.clapton:musician-core:1.0.0-SNAPSHOT @ /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-core/pom.xml.
2016-01-06 00:35:09,936 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:35:09,939 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-01-06 00:35:09,942 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:35:09,943 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-app-server/src/test/resources
2016-01-06 00:35:09,985 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: eric.clapton:musician-repository:1.0.0-SNAPSHOT @ /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-repository/pom.xml.
2016-01-06 00:35:10,026 [Worker-12] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: eric.clapton:musician-service:1.0.0-SNAPSHOT @ /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-service/pom.xml.
2016-01-06 00:35:11,380 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:35:11,381 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/infrastructure/src/main/resources
2016-01-06 00:35:11,416 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:35:11,417 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/infrastructure/src/test/resources
2016-01-06 00:35:11,921 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:35:11,922 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-core/src/main/resources
2016-01-06 00:35:11,924 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:35:11,924 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-core/src/test/resources
2016-01-06 00:35:12,092 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:35:12,093 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-repository/src/main/resources
2016-01-06 00:35:12,095 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:35:12,095 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-repository/src/test/resources
2016-01-06 00:35:12,313 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:35:12,314 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-service/src/main/resources
2016-01-06 00:35:12,315 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:35:12,316 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-01-06 00:35:12,647 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:35:12,648 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-01-06 00:35:12,649 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:35:12,649 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/chengpoleness/Documents/code/musicianShare/java/musician_share_clapton/musician-app-server/src/test/resources
2016-01-06 00:38:13,848 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-01-06 00:38:13,850 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
